step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,0.92967,0.8,,
2,2.65185,0.33333,,
3,1.10752,0.75,,
4,1.3556,0.66667,,
5,0.6029,0.66667,,
6,3.75791,0.66667,,
7,0.36777,0.8,,
8,0.32811,0.8,,
9,0.01435,1.0,,
10,0.11135,1.0,,
11,1.51437,0.66667,,
12,0.03482,1.0,,
13,0.01078,1.0,,
14,0.79711,0.66667,,
15,0.36938,0.75,,
16,0.00484,1.0,,
17,0.00383,1.0,,
18,0.02626,1.0,,
19,0.15723,1.0,,
20,0.19567,0.8,,
21,0.01488,1.0,,
22,1.99987,0.66667,,
23,0.00335,1.0,,
24,1.53193,0.8,,
25,0.00187,1.0,,
26,0.07065,1.0,,
27,0.0119,1.0,,
28,0.63129,0.8,,
29,1.33757,0.8,,
30,0.61633,0.8,,
31,0.11927,1.0,,
32,0.00011,1.0,,
33,0.58446,0.66667,,
34,0.98219,0.66667,,
35,1.3087,0.8,,
36,8e-05,1.0,,
37,9e-05,1.0,,
38,0.00098,1.0,,
39,4e-05,1.0,,
40,0.00022,1.0,,
41,0.1189,1.0,,
42,1.39104,0.66667,,
43,0.00073,1.0,,
44,1.61433,0.66667,,
45,0.30001,0.66667,,
46,2e-05,1.0,,
47,0.08204,1.0,,
48,0.22634,1.0,,
49,0.57613,0.66667,,
50,1e-05,1.0,,
51,1.12372,0.8,,
52,2.1694,0.75,,
53,1.90079,0.75,,
54,1.49617,0.8,,
55,1e-05,1.0,,
56,1e-05,1.0,,
57,2e-05,1.0,,
58,0.08322,1.0,,
59,3e-05,1.0,,
60,1.50225,0.75,,
61,3.27422,0.75,,
62,1e-05,1.0,,
63,7e-05,1.0,,
64,1.76467,0.8,,
65,0.74163,0.75,,
66,1e-05,1.0,,
67,1e-05,1.0,,
68,0.00054,1.0,,
69,0.00118,1.0,,
70,1e-05,1.0,,
71,3e-05,1.0,,
72,0.01992,1.0,,
73,1.19651,0.75,,
74,1e-05,1.0,,
75,1e-05,1.0,,
76,1e-05,1.0,,
77,1e-05,1.0,,
78,1e-05,1.0,,
79,0.0,1.0,,
80,1e-05,1.0,,
81,0.00503,1.0,,
82,1e-05,1.0,,
83,0.0,1.0,,
84,0.0,1.0,,
85,0.0,1.0,,
86,0.0,1.0,,
87,0.0,1.0,,
88,0.00036,1.0,,
89,0.0,1.0,,
90,0.05614,1.0,,
91,2.95057,0.75,,
92,4.71547,0.75,,
93,0.83729,0.75,,
94,0.0,1.0,,
95,0.0,1.0,,
96,0.00071,1.0,,
97,0.34287,0.8,,
98,0.02155,1.0,,
99,1.04294,0.75,,
100,0.0,1.0,,
101,0.02389,1.0,,
102,0.0,1.0,,
103,1e-05,1.0,,
104,1e-05,1.0,,
105,0.0,1.0,,
106,1e-05,1.0,,
107,0.49351,0.75,,
108,0.0,1.0,,
109,0.0454,1.0,,
110,0.0,1.0,,
111,8e-05,1.0,,
112,0.00093,1.0,,
113,0.0,1.0,,
114,0.0,1.0,,
115,0.0,1.0,,
116,0.0,1.0,,
117,0.15636,1.0,,
118,2e-05,1.0,,
119,0.0,1.0,,
120,0.0,1.0,,
121,0.0,1.0,,
122,0.0,1.0,,
123,0.17214,1.0,,
124,4.43046,0.75,,
125,0.0,1.0,,
126,0.0,1.0,,
127,0.0,1.0,,
128,0.0,1.0,,
129,2.15755,0.75,,
130,0.28256,0.66667,,
131,0.0,1.0,,
132,0.0,1.0,,
133,0.0,1.0,,
134,0.0,1.0,,
135,0.0,1.0,,
136,0.0,1.0,,
137,0.0,1.0,,
138,0.02781,1.0,,
139,0.01295,1.0,,
140,0.0,1.0,,
141,0.0,1.0,,
142,0.00025,1.0,,
143,0.46614,0.8,,
144,0.0,1.0,,
145,0.0,1.0,,
146,1e-05,1.0,,
147,0.0,1.0,,
148,0.0,1.0,,
149,0.0,1.0,,
150,0.0,1.0,,
151,0.0,1.0,,
152,0.0,1.0,,
153,0.00144,1.0,,
154,0.0,1.0,,
155,5e-05,1.0,,
156,0.0,1.0,,
157,0.0,1.0,,
158,0.0,1.0,,
159,0.00383,1.0,,
160,3.37497,0.75,,
161,0.0,1.0,,
162,0.0,1.0,,
163,0.0,1.0,,
164,0.56234,0.75,,
165,0.0,1.0,,
166,0.0,1.0,,
167,0.0,1.0,,
168,0.0,1.0,,
169,0.0,1.0,,
170,2.85888,0.75,,
171,0.0,1.0,,
172,0.0,1.0,,
173,0.0,1.0,,
174,0.00011,1.0,,
175,1e-05,1.0,,
176,0.0,1.0,,
177,0.0,1.0,,
178,0.0,1.0,,
179,0.0,1.0,,
180,1e-05,1.0,,
181,3e-05,1.0,,
182,0.0,1.0,,
183,0.0,1.0,,
184,0.0,1.0,,
185,0.0,1.0,,
186,0.0,1.0,,
187,2e-05,1.0,,
188,6e-05,1.0,,
189,0.0,1.0,,
190,0.0,1.0,,
191,0.0,1.0,,
192,0.0,1.0,,
193,0.0,1.0,,
194,0.0,1.0,,
195,0.0,1.0,,
196,0.0,1.0,,
197,3.26553,0.8,,
198,0.0,1.0,,
199,1.59819,0.75,,
200,0.0,1.0,,
201,0.0,1.0,,
202,0.0,1.0,,
203,0.00035,1.0,,
204,0.0,1.0,,
205,0.0,1.0,,
206,0.0,1.0,,
207,0.0,1.0,,
""
